productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,lastmodby,ischildofproductcode,ischildofproductcode_productid,options_cloned_from_productid,photos_cloned_from_productid,share_stockstatus_with_productid,productpopularity,homepage_section,autodropship,donotallowbackorders,warehouselocation,warehouseaisle,warehousebin,warehousecustom,upc_code,productkeywords,productnameshort,productweight,freeshippingitem,minqty,maxqty,recurringstartprice,recurringstartduration,recurringprice,recurringhowoften,recurringduration,allowpriceedit,productprice,listprice,saleprice,taxableproduct,selectedoptionids,giftwrapcost,downloadfile,availability,metatag_title,metatag_description,discountedprice_level1,discountedprice_level2,discountedprice_level3,discountedprice_level4,discountedprice_level5,photo_subtext,photo_alttext,discountedrecurringprice_level1,discountedrecurringprice_level2,discountedrecurringprice_level3,discountedrecurringprice_level4,discountedrecurringprice_level5,fixed_shippingcost,fixed_shippingcost_outside_localregion,uses_product_keytypes,price_subtext,price_subtext_short,listprice_name,productprice_name,saleprice_name,hide_yousave,hide_freeaccessories,setupcost,setupcost_name,discountedsetupcost_level1,discountedsetupcost_level2,discountedsetupcost_level3,discountedsetupcost_level4,discountedsetupcost_level5,setupcost_title,stockreorderqty,warehouses,affiliate_commissionable_value,addtocartbtn_replacement_text,book_isbn,productcondition,estship_ground,estship_2ndday,estship_overnight,customfield1,customfield2,customfield3,customfield4,customfield5,shoppingdotcom_category,yahoo_category,yahoo_medium,productmanufacturer,hide_when_outofstock,stocklowqtyalarm,addtopo_now,lastpo_qty,lastpo_date,howtogetsaleprice,inv_verify_qtyonhand,inv_lastverified,enablemultichildaddtocart,vendor_price,enableoptions_inventorycontrol,photourl_small,photourl_large,private_section_customers_only,quickbooks_item_accnt,quickbooks_item_assetaccnt,quickbooks_item_cogsaccnt,vat_percentage,recurring_pricing_text,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription,productfeatures,techspecs,extinfo,orderfinished_note,metatag_keywords,productdescription_abovepricing,custom_metatags_override,ean,google_product_category,google_size,google_color,google_gender,google_age_group,google_availability,google_pattern,google_material,estdaystoship,google_unique_identifier_exists,google_adult_product,google_sizetype,google_sizesystem,nonshippable,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,createddate,mpn,hazardousproduct,avalarataxcode,createdutc,modifiedutc,unitofmeasure,categoryids,optionids,accessories,freeaccessories,producturl,photourl,categorytree,numproductssharingstock,photoseed
"I-S-MA1","","S-MA1: Mini Magnabutment","","","Y","","11/19/2025 12:36:00 PM","","","","14860","","","","","","","","N","N","","","","","","SMA1","S-MA1: Mini Magnabutment","1","N","","","","","","","","N","266.95","","","","","","","Usually Ships in 24 to 48 Hours","S-MA1: Mini Magnabutment","S-MA1: Mini Magnabutment, S-MA1, Magnabutment Straumann, S-MA1, Straumann Abutment keeper, Mini Abutment keeper which threads directly into the Straumann implant fixtures. Available for intra-oral fixtures.","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","<p class=""MsoNormal""><span style=""font-size: 10.5pt; font-family: Arial, sans-serif; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Straumann Abutment keeper
which threads directly into the implant fixture.</span><o:p></o:p></p>","S-MA1, Straumann  Abutment keeper, Mini Abutment keeper which threads directly into the Straumann implant fixtures.  Available for intra-oral fixtures.

S-MA1,    Mini, Height 3.6 mm; Diameter 4.4 mm.
S-MA1-3.5, Mini, Height: 3.5 mm, Diameter 4.4 mm.
S-MA1-5.5, Mini, Height: 5.5 mm, Diameter 4.4 mm.","Mini Magna Abutment: Height: 3.6mm, Diameter: 4.4mm (IMA1)
Maxi Magna Abutment: Height: 3.6mm, Diameter: 5.1mm (IMA2)","","","","S-MA1: Mini Magnabutment, S-MA1, Magnabutment Straumann, S-MA1, Straumann Abutment keeper, Mini Abutment keeper which threads directly into the Straumann implant fixtures. Available for intra-oral fixtures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102,96,9","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-S-MA1","http://www.factor2.com/v/vspfiles/photos/I-S-MA1-1.jpg","Magnetic Components > Magna Cap Components > Magnabutments S - Range","0","1328877395"
"I-S-MA2","","S-MA2: Maxi Magnabutment","","","Y","","11/19/2025 12:35:00 PM","","","","14860","","","","","","","","N","N","","","","","","SMA2","S-MA2: Maxi Magnabutment","1","N","","","","","","","","N","266.95","","","","","","","Usually Ships in 24 to 48 Hours","S-MA2: Maxi Magnabutment","S-MA2: Maxi Magnabutment, S-MA2, Magnabutment Straumann , S-MA2, Straumann Abutment keeper, Mini Abutment keeper which threads directly into the Straumann implant fixtures. Available for intra-oral fixtures.","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","<p class=""MsoNormal""><span style=""font-size: 10.5pt; font-family: Arial, sans-serif; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Straumann Abutment keeper
which threads directly into the implant fixture.</span><o:p></o:p></p>","S-MA2, Straumann  Abutment keeper, Maxi Abutment keeper which threads directly into the Straumann implant fixtures.  Available for intra-oral fixtures.

S-MA2, Maxi, Height 2.1 mm; Diameter 5.1 mm.
S-MA2-3.5, Midi & Maxi  Height: 3.5 mm, Diameter 5.1 mm.
S-MA2-5.5, Midi & Maxi, Height: 5.5 mm, Diameter 5.1 mm.","Mini Magna Abutment: Height: 3.6mm, Diameter: 4.4mm (IMA1)
Maxi Magna Abutment: Height: 3.6mm, Diameter: 5.1mm (IMA2)","","","","S-MA2: Maxi Magnabutment, S-MA2, Magnabutment Straumann , S-MA2, Straumann Abutment keeper, Mini Abutment keeper which threads directly into the Straumann implant fixtures. Available for intra-oral fixtures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102,96,9","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-S-MA2","http://www.factor2.com/v/vspfiles/photos/I-S-MA2-1.jpg","Magnetic Components > Magna Cap Components > Magnabutments S - Range","0","1328877454"
"I-SCD-103","","SCD-103: Samarium Cobalt Magnets","","","","","12/2/2025 7:48:00 AM","","","","9210","","","","","","","","N","N","","","","","","SCD103","Samarium Cobalt Magnets","0.1","N","","","","","","","","N","17.5","","","","","","","Usually Ships in 24 to 48 Hours","","Samarium Magnets","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Samarium Cobalt Magnet 5 mm. X 1.5 mm.<br />","<p class=""MsoNormal"" style=""margin-bottom: 3.75pt; line-height: 18pt; background-image: initial; background-color: white;""><span style=""font-size:13.5pt;font-family:&quot;Arial&quot;,sans-serif;
mso-fareast-font-family:&quot;Times New Roman&quot;"">Samarium Magnets<o:p></o:p></span></p>

<p style=""margin: 0in 0in 17.25pt; vertical-align: baseline; background-image: initial; background-color: white;""><span style=""font-size:14.0pt;font-family:&quot;Helvetica&quot;,sans-serif"">Sm-Co
materials come in energy products from 16 MGOe up to 33 MGOe. Their high
resistance to demagnetizing influences and excellent thermal stability has
ensured Sm-Co as the premium choice for the most demanding motor applications.
In addition, the corrosion resistance is significantly higher than, for
example, Nd-Fe-B. It is still recommended to coat the magnet in acidic
conditions. Its corrosion resistance has also offered a high degree of comfort
to those looking to use magnets in medical applications.<o:p></o:p></span></p><span style=""font-family: Helvetica, sans-serif; font-size: 18.6667px;"">As the first commercially viable rare earth permanent magnet material, Samarium Cobalt (Sm-Co) is considered to still be the premium material for many high performance applications. Formulated in the 1960s, it came as a revolutionary product, initially tripling the energy product of other materials available at the time.<br />(DISCONTINUED WHEN GONE)</span>","","","","","Samarium Cobalt Magnets, Magnet, industrial magnet, commercial magnet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95,9,25,1987,73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-SCD-103","http://www.factor2.com/v/vspfiles/photos/I-SCD-103-1.jpg","Magnetic Components > Samarium Cobalt","0",""
"I-SCD-118","","SCD-118: Samarium Cobalt Magnets","","","","","12/2/2025 7:49:00 AM","","","","9210","","","","","","","","N","N","","","","","","SCD118","Samarium Cobalt Magnets","0.1","N","","","","","","","","N","17.5","","","","","","","Usually Ships in 24 to 48 Hours","Samarium Cobalt Magnets","commercially viable rare earth permanent magnet material, Samarium Cobalt (Sm-Co) is considered to still be the premium material for many high performance applications.","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Samarium Cobalt Magnet .118 X .118<br />","<p class=""MsoNormal"" style=""margin-bottom: 3.75pt; line-height: 18pt; background-image: initial; background-color: white;""><span style=""font-size:13.5pt;font-family:&quot;Arial&quot;,sans-serif;
mso-fareast-font-family:&quot;Times New Roman&quot;"">Samarium Magnets<o:p></o:p></span></p>

<p style=""margin: 0in 0in 17.25pt; vertical-align: baseline; background-image: initial; background-color: white;""><span style=""font-size:14.0pt;font-family:&quot;Helvetica&quot;,sans-serif"">Sm-Co
materials come in energy products from 16 MGOe up to 33 MGOe. Their high
resistance to demagnetizing influences and excellent thermal stability has
ensured Sm-Co as the premium choice for the most demanding motor applications.
In addition, the corrosion resistance is significantly higher than, for
example, Nd-Fe-B. It is still recommended to coat the magnet in acidic
conditions. Its corrosion resistance has also offered a high degree of comfort
to those looking to use magnets in medical applications.<o:p></o:p></span></p><span style=""font-family: Helvetica, sans-serif; font-size: 18.6667px;"">As the first commercially viable rare earth permanent magnet material, Samarium Cobalt (Sm-Co) is considered to still be the premium material for many high performance applications. Formulated in the 1960s, it came as a revolutionary product, initially tripling the energy product of other materials available at the time.<br />(DISCONTINUED WHEN GONE)</span>","","","","","Magnets, Magnetic, Rare Earth, Samarium Cobalt, Commercial magnet, Industrial magnet, Rare Earth Magnet, Samarium Cobalt Magnet, Sm-C0 Magnets,  Hicorex magnet,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95,9,1987,1988,25,73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-SCD-118","http://www.factor2.com/v/vspfiles/photos/I-SCD-118-1.jpg","Magnetic Components > Samarium Cobalt","0",""
"I-STO","","STO: Seating Tool","","","","","12/2/2025 8:41:00 AM","","","","9210","","","","","","","","N","N","","","","","","STO","STO: Seating Tool","1","N","","","","","","","","N","116.95","","","","","","","Usually Ships in 24 to 48 Hours","STO, Seating Tool","STO, Seating Tool, Hand-held tool with surface magnet to fit root keepers and for general handling of Magnacap components. (Non-sterile) Height:17.0 mm, Diameter: 5.5 mm.","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Hand-held tool with surface magnet to fit root keepers.","Hand-held tool with surface magnet to fit root keepers and for general handling of Magnacap components. (Non-sterile)
Height:17.0 mm, Diameter: 5.5 mm.","","","","","STO, Seating Tool, Hand-held tool with surface magnet to fit root keepers and for general handling of Magnacap components. (Non-sterile) Height:17.0 mm, Diameter: 5.5 mm.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48,104,105,42,96,9","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-STO","http://www.factor2.com/v/vspfiles/photos/I-STO-1.jpg","Magnetic Components > Technovent USA > Laboratory Accessories","0","1410880057"
"I-VF-LAC1","","VF-LAC1: Mini Magnacap","","","","","12/2/2025 9:15:00 AM","","","","9210","","","","","","","","N","N","","","","","","VFLAC1","VF-LAC1: Mini Magnacap","1","N","","","","","","","","N","159.95","","","","","","","Usually Ships in 24 to 48 Hours","VF-LAC1: Mini Magnacap","VF-LAC1: Mini Magnacap, VF-LAC Cochlear, Vistafix generation 3, Lab Analogue, A color coded lab analogue Magnacap replica to fit laboratory abutments. Non-sterile.","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","<p class=""MsoNormal""><span style=""font-size: 10pt; font-family: Arial, sans-serif; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">A generation 3 Lab analogue
Magnacap.</span><span style=""font-size: 10pt;""><o:p></o:p></span></p>","<hr /><p class=""MsoNormal""><o:p></o:p></p><span style=""font-family: Arial, sans-serif; font-size: 10.5pt; background-color: initial;"">VF-LAC-1: Mini Magnacap, Lab
analogue cap for Cochlear, Vistafix generation 3. A color coded Magnacap
replica for laboratory models. Non-sterile.<br /></span><span style=""font-family: Arial, sans-serif; font-size: 10.5pt; background-color: initial;""></span><span style=""background-color: initial;""> Height: 2.1 mm</span><span style=""background-color: initial;"">                       Diameter: 4.4 mm</span><span style=""background-color: initial;""></span><hr /><hr id=""horizontalrule"" />","","SPECIFICATIONS:<br /><b>VF-LAC1</b> - Height: 2.1 mm, Diameter: 4.4 mm<br /><br />","","","VF-LAC1: Mini Magnacap, VF-LAC Cochlear, Vistafix generation 3 Lab Analogue, A color coded lab analogue Magnacap replica to fit laboratory abutments. Non-sterile, VFLAC1, VF-LAC-1: Mini Magnacap, Lab analogue cap for Cochlear, Vistafix generation 3. A color coded Magnacap replica for laboratory models. Non-sterile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105,96,9","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-VF-LAC1","http://www.factor2.com/v/vspfiles/photos/I-VF-LAC1-1.jpg","Magnetic Components > Magna Cap Components > Laboratory Accessories","0",""
"I-VF-LAC2","","VF-LAC2: Maxi Magnacap","","","","","12/2/2025 9:16:00 AM","","","","9210","","","","","","","","N","N","","","","","","VFLAC2","VF-LAC2: Maxi Magnacap","1","N","","","","","","","","N","159.95","","","","","","","Usually Ships in 24 to 48 Hours","VF-LAC2: Maxi Magnacap","VF-LAC2: Maxi Magnacap VF-LAC Cochlear, Vistafix generation 3, Lab Analogue, A color coded lab analogue Magnacap replica to fit laboratory abutments. Non-sterile.","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","<p class=""MsoNormal""><span style=""font-size: 10pt; font-family: Arial, sans-serif; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">A generation 3 Lab analogue
Magnacap.</span><span style=""font-size: 10pt;""><o:p></o:p></span></p>","<hr /><p class=""MsoNormal""><o:p></o:p></p><span style=""font-family: Arial, sans-serif; font-size: 10.5pt; background-color: initial;"">VF-LAC-2: Maxi Magnacap,  Lab
analogue cap for Cochlear,  Vistafix generation 3. A color coded Magnacap
replica for laboratory models. Non-sterile.<br /></span><span style=""font-family: Arial, sans-serif; font-size: 10.5pt; background-color: initial;""></span><span style=""background-color: initial;""> Height: 2.1 mm</span><span style=""background-color: initial;"">                       Diameter: 5.1 mm </span><span style=""background-color: initial;""></span><hr /><hr id=""horizontalrule"" />","","SPECIFICATIONS:<br /><b>VF-LAC2</b> - Height: 2.1 mm, Diameter: 5.1 mm<br /><br />","","","VF-LAC2: Maxi Magnacap, VF-LAC Cochlear, Vistafix generation 3 Lab Analogue, A color coded lab analogue Magnacap replica to fit laboratory abutments. Non-sterile, VFLAC1, VF-LAC-1: Mini Magnacap, Lab analogue cap for Cochlear, Vistafix generation 3. A color coded Magnacap replica for laboratory models. Non-sterile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105,96,9","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-VF-LAC2","http://www.factor2.com/v/vspfiles/photos/I-VF-LAC2-1.jpg","Magnetic Components > Magna Cap Components > Laboratory Accessories","0","1445246515"
"I-VF-LAC2-OR","","VF-LAC2-OR:  Maxi Magnacap Auricular Lab Analogue Gen 3","","","","","12/2/2025 8:55:00 AM","","","","9210","","","","","","","","N","N","","","","","","VFLAC2OR","VF-LAC2-OR Auricular Lab Analogue Maxi","1","N","","","","","","","","N","137.95","","","","","","","Usually Ships in 24 to 48 Hours","VF-LAC2-OR Auricular Lab Analogue Maxi","VF-LAC2-OR Auricular Lab Analogue Maxi","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","A generation 3 color coded Magnacap replica for laboratory models.","A generation 3 color coded  lab analogue Magnacap replica to fit laboratory  abutments. Non-sterile.<hr />VF-LAC2-OR: Maxi Magnacap                                  Height: 3.2mm                          Diameter: 5.26mm<hr id=""horizontalrule"" />","","SPECIFICATIONS:<br /><b>VF-LAC2-OR</b>  - Height: 3.2mm, Diameter: 5.26mm","","","VF-LAC2-OR Auricular Lab Analogue Maxi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99,105,96,9","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-VF-LAC2-OR","http://www.factor2.com/v/vspfiles/photos/I-VF-LAC2-OR-1.jpg","Magnetic Components > Magna Cap Components > Auricular Magnets S - Range","0","1411555213"
"I-VF-MC1-S","","VF-MC1-S:Mini Magnacap","","","","","12/2/2025 9:11:00 AM","","","","9210","","","","","","","","N","N","","","","","","VFMC1S","VF-MC1-S:Mini Magnacap","1","N","","","","","","","","N","151.95","","","","","","","Usually Ships in 24 to 48 Hours","VF-MC1-S:Mini Magnacap","VF-MC1-S:Mini Magnacap, Magnacap  (Midi & Maxi) ""S"" Range, VF-MC1-S, ""S"" Range, Maxi Magnacap keeper which threads directly into the Cochlear, Vistafix generation 3 implant abutment with an external hex","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","<font face=""Arial, sans-serif""><span>Generation 3 Abutment Keeper</span></font>","Mini Magnacap abutment keeper that fits directly onto an implant abutment. Cochlear, Vistafix generation 3 implant abutment. Non-sterile.<br />Height 2.1 mm, Diameter 4.4 mm.","","Important: this component will not thread into the implant body, it must be used in conjunction with an abutment.","","","VF-MC1-S:Mini Magnacap, Magnacap  (Midi & Maxi) ""S"" Range, VF-MC1-S, ""S"" Range, Maxi Magnacap keeper which threads directly into the Vistafix generation 3 implant abutment with an external hex, VFMC1S, vfmc1s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101,96,9","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-VF-MC1-S","http://www.factor2.com/v/vspfiles/photos/I-VF-MC1-S-1.jpg","Magnetic Components > Magna Cap Components > Magnacaps S - Range","0","1444751722"
"I-VF-MC2-OR-S","","VF-MC2-OR-S:  Maxi  Magnacap","","","","","12/2/2025 9:12:00 AM","","","","9210","","","","","","","","N","N","","","","","","VFMC2ORS","""O"" Ring: VF-MC2-OR-S, Magnacap (Maxi) ""S"" Range","1","N","","","","","","","","N","151.95","","","","","","","Usually Ships in 24 to 48 Hours","""O"" Ring: VF-MC2-OR-S, Magnacap (Maxi) ""S"" Range","Abutment keeper which threads directly into the implant fixture. Available for intra-oral fixtures.","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Auricular Magnacap for Vistafix Generation 3 Implants","<p class=""MsoNormal""><span style=""font-size: 10.5pt; font-family: Arial, sans-serif; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;""><b>VF-MC2-OR-S</b>, ""S""
Range, Maxi Magnacap for O-Ring Magnet. Secure, stress-broken functional
retention and stability for implant-retained ear, fixture fits into abutment,
not into the implant fixture. Nasal and finger prostheses. Reduces soft tissue
periodontal-implant problems and risk of accidental displacement of the
prosthesis. Must be used in conjunction with MLL2-OR-S, Auricular Magnet.
Compatible with Generation 3 implants, Vistafix 3, Cochlear, Nobel Biocare,
Branemark abutments. Height: 3.2 mm<b>, </b>Diameter: 5.26 mm.<o:p></o:p></span></p>","","","","","VF-MC2-OR-S, ""S"" Range, Maxi Magnacap for O- Ring Magnet. Secure, stress-broken functional retention and stability for implant-retained ear, fixture fits into abutment, not into the implant fixture. nasal and finger prostheses. Reduces soft tissue peri-implant problems and risk of accidental displacement of the prosthesis. Must be used in conjunction with MLL2-OR-S, Auricular Magnet. Compatible with Vistafix 3, Nobel Biocare, Branemark abutments with external hex. Height: 3.2 mm, Diameter: 5.26 mm.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99,96,9","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-VF-MC2-OR-S","http://www.factor2.com/v/vspfiles/photos/I-VF-MC2-OR-S-1.jpg","Magnetic Components > Magna Cap Components > Auricular Magnets S - Range","0","1404830237"
"I-VF-MC2-S","","VF-MC2-S: Maxi Magnacap","","","","","12/2/2025 9:13:00 AM","","","","9210","","","","","","","","N","N","","","","","","VFMC2S","VF-MC2-S, Maxi Magnacap","1","N","","","","","","","","N","151.95","","","","","","","Usually Ships in 24 to 48 Hours","VF-MC2-S, Maxi Magnacap","VF-MC2-S, Maxi Magnacap, VF-MC2-S, Magnacap  (Midi & Maxi) ""S"" Range, VF-MC2-S, ""S"" Range, Maxi Magnacap keeper which threads directly into the Vistafix generation 3 implant abutment with an external hex","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","<font face=""Arial, sans-serif""><span>Generation 3 Abutment Keeper</span></font>","Maxi Magnacap abutment keeper that fits directly onto an implant abutment. Cochlear, Vistafix generation 3 implant abutment. Non-sterile<br />Height 2.1 mm, Diameter 5.1 mm.","","Important: this component will not thread into the implant body, it must be used in conjunction with an abutment.","","","VF-MC2-S, Maxi Magnacap, VF-MC2-S, Magnacap  (Midi & Maxi) ""S"" Range, VF-MC2-S, ""S"" Range, Maxi Magnacap keeper which threads directly into the Vistafix generation 3 implant abutment with an external hex, Cochlear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101,96,9","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=I-VF-MC2-S","http://www.factor2.com/v/vspfiles/photos/I-VF-MC2-S-1.jpg","Magnetic Components > Magna Cap Components > Magnacaps S - Range","0",""
"IE-MA1-S","","IE-MA1-S: Mini Magnabutment","","","Y","","11/19/2025 12:37:00 PM","","","","14860","","","","","","","","N","N","","","","","","","","1","Y","","","","","","","","","237.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","<p class=""MsoNormal"" style=""margin-bottom:0in;mso-line-height-alt:14.4pt;
mso-outline-level:1;vertical-align:baseline""><b><span style=""font-size:24.0pt;
font-family:&quot;Times New Roman&quot;,serif;mso-fareast-font-family:&quot;Times New Roman&quot;;
mso-font-kerning:18.0pt;mso-ligatures:none"">Southern Implants Magnabutments for
IE <o:p></o:p></span></b></p>

<p class=""MsoNormal"" style=""margin-bottom:0in;mso-line-height-alt:14.4pt;
mso-outline-level:1;vertical-align:baseline""><b><span style=""font-size:24.0pt;
font-family:&quot;Times New Roman&quot;,serif;mso-fareast-font-family:&quot;Times New Roman&quot;;
mso-font-kerning:18.0pt;mso-ligatures:none"">Implants & Vistafix (Codhlear)
Gen II Implants<o:p></o:p></span></b></p>

<p class=""MsoNormal"" style=""margin-bottom:0in;mso-line-height-alt:14.4pt;
mso-outline-level:1;vertical-align:baseline""><b><span style=""font-size:24.0pt;
font-family:&quot;Times New Roman&quot;,serif;mso-fareast-font-family:&quot;Times New Roman&quot;;
mso-font-kerning:18.0pt;mso-ligatures:none"">External Hex <o:p></o:p></span></b></p><p style=""margin:0in;tab-stops:45.8pt 91.6pt 137.4pt 183.2pt 229.0pt 274.8pt 320.6pt 366.4pt 412.2pt 458.0pt 503.8pt 549.6pt 595.4pt 641.2pt 687.0pt 732.8pt;
vertical-align:baseline""><span style=""font-size:11.5pt;font-family:&quot;inherit&quot;,serif;
mso-bidi-font-family:&quot;Courier New&quot;;color:#063375"">Magnabutment to fit: </span><span style=""color: rgb(6, 51, 117); font-family: &quot;inherit&quot;, serif; font-size: 11.5pt; background-color: initial; letter-spacing: 0px;"">Southern
Implant Magnabutments for IE, IT & HX systems.<br /></span><span style=""color: rgb(6, 51, 117); font-family: &quot;inherit&quot;, serif; font-size: 11.5pt;""> </span><span style=""color: rgb(6, 51, 117); font-family: &quot;inherit&quot;, serif; font-size: 11.5pt;"">Mini Magnabutment (Diameter 4.4mm)<br /></span></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","3/25/2024 1:11:16 PM","","","","2024-03-25 20:11:16.49 +00:00","2024-03-25 20:11:16.49 +00:00","","9,99,96,101,102","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=IE-MA1-S","http://www.factor2.com/v/vspfiles/photos/IE-MA1-S-1.jpg","Magnetic Components","0",""
